"Player","Team","Pos","Matchup","Carries","Rush YDs","Rush TDs","Targets","Receptions","Rec Yds","Rec TDs","Pass Attempts","Passing YDs","Passing TDs","Interceptions","Y/A","Sacks","Fumbles Lost","Team Total"
"Payne Durham","TB","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Audric Estime","DEN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Johnny Mundt","MIN","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Brandon Powell","MIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Trent Sherfield","MIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Emanuel Wilson","GB","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"C.J. Ham","MIN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Hayden Hurst","LAC","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Hassan Haskins","LAC","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Dez Fitzpatrick","LAC","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Keaton Mitchell","BAL","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Scott Matlock","LAC","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Chris Rodriguez Jr.","WAS","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000",""
"Ben Sims","GB","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"John FitzPatrick","GB","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Kimani Vidal","LAC","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Ko Kieft","TB","TE","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","7.000","0.000",""
"Ty Chandler","MIN","RB","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","8.000","0.000",""
"Ja'Marr Chase","CIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Brian Thomas Jr.","JAX","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Jaxon Smith-Njigba","SEA","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"DK Metcalf","SEA","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Tee Higgins","CIN","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
"Malik Nabers","NYG","WR","BYE","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","","","11.000","0.000",""
